执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 17:25:56
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 17:27:14
执行时间：0.078125 = URL：/Work/Work/checkWork.html 当前时间:2017-07-17 17:41:25
执行时间：0.078125 = URL：/Work/Work/checkWorkDetail/workStyle/test/id/37/cid/1.html 当前时间:2017-07-17 17:41:30
执行时间：0.078125 = URL：/Work/Work/addWork.html 当前时间:2017-07-17 17:41:37
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 17:41:46
执行时间：0.078125 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-17 17:41:51
执行时间：0.078125 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-17 17:42:41
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 17:47:35
执行时间：0.078125 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-17 17:47:45
执行时间：0.078123092651367 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 19:05:28
执行时间：0.078124046325684 = URL：/Work/WorkReport/studentIndex/id/2/cid/1.html 当前时间:2017-07-17 19:06:24
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 10:57:42
执行时间：0.078125 = URL：/Work/MyClass/myClass.html 当前时间:2017-07-18 11:20:54
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 11:20:57
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 13:35:53
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 13:35:57
执行时间：0.09375 = URL：/Work/Work/checkWork.html 当前时间:2017-07-18 14:14:09
执行时间：0.09375 = URL：/Work/Work/checkWork.html 当前时间:2017-07-18 14:14:12
执行时间：0.078125 = URL：/Work/Work/checkWorkDetail/workStyle/test/id/38/cid/1.html 当前时间:2017-07-18 14:14:16
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 14:19:22
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 14:26:34
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 14:53:54
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 16:03:16
执行时间：0.09375 = URL：/Work/WorkReport/studentIndex/id/2/cid/1.html 当前时间:2017-07-18 16:03:29
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 17:17:40
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 17:17:51
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 17:17:56
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 17:18:01
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 20:18:10
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 20:29:56
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-18 20:39:10
